Emotion,Text
joy,i think she will have the luxury of looking back at her fashion moments and feel proud
joy,i reali feel glad
sadness,i honestly loved this place and felt pretty comfortable here but after this i don t really know how to feel the school has taken action to help me get through this unfortunate situation which i am really happy about because i wasn t expecting any support
joy,im feeling fine just a bit nauseous and extremely tired but to be expected in the first trimester
anger,i am afrade for his life as some people feel quite hostile towards him
fear,i cant stop talking even though im already feel weird uncomfortable feeling swarming me but still my mouth keeps saying unnecessary word
anger,i almost feel greedy with my rd child when so many people i know are working so hard for or
sadness,i feel like i just need to rejuvenate myself catch up on some blog posts some work on my etsy shop and catch up on a few tv shows i missed this week
joy,im feeling at the moment i imagine therell be something vigorous and active too
sadness,i would have liked but if i would have had people to run with i feel like i could have run a low
joy,i think you only ask for help to make me feel useful and help me gain some perspective
joy,i feel so lucky to be his wife and hope that i have the opportunity to remind him every day
joy,i was meant to feel sympathy for her but i have little sympathy for those determined to be victims and wallow in their own pain while blaming and punishing others for their state of being
joy,i feel like we re not a moonlighting type of show where all the tension is resolved at the end
joy,i work in a neighborhood school i do not feel respected or supported
sadness,i get i will drill into the subjects soul with an icy stare until it feels as disturbed as i do and leaves
sadness,i am feeling devastated the inner voice within me thats what i name it speaks
anger,i do feel though that its pretty dangerous to try to apply only one strategy to a match
